Date,Daily_cases
2020-02-01,0
2020-02-02,1
2020-02-03,1
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,2
2020-03-03,0
2020-03-04,23
2020-03-05,2
2020-03-06,1
2020-03-07,3
2020-03-08,5
2020-03-09,4
2020-03-10,13
2020-03-11,6
2020-03-12,11
2020-03-13,9
2020-03-14,20
2020-03-15,11
2020-03-16,6
2020-03-17,23
2020-03-18,14
2020-03-19,38
2020-03-20,50
2020-03-21,86
2020-03-22,66
2020-03-23,103
2020-03-24,37
2020-03-25,121
2020-03-26,70
2020-03-27,160
2020-03-28,100
2020-03-29,37
2020-03-30,227
2020-03-31,146
2020-04-01,601
2020-04-02,545
2020-04-03,24
2020-04-04,515
2020-04-05,506
2020-04-06,1190
2020-04-07,533
2020-04-08,605
2020-04-09,809
2020-04-10,873
2020-04-11,848
2020-04-12,759
2020-04-13,1248
2020-04-14,1034
2020-04-15,835
2020-04-16,1108
2020-04-17,922
2020-04-18,1370
2020-04-19,1893
2020-04-20,924
2020-04-21,1541
2020-04-22,1290
2020-04-23,1707
2020-04-24,1453
2020-04-25,1753
2020-04-26,1607
2020-04-27,1561
2020-04-28,1873
2020-04-29,1738
2020-04-30,1801
2020-05-01,2394
2020-05-02,2442
2020-05-03,2806
2020-05-04,3932
2020-05-05,2963
2020-05-06,3587
2020-05-07,3364
2020-05-08,3344
2020-05-09,3113
2020-05-10,4353
2020-05-11,3607
2020-05-12,3524
2020-05-13,3763
2020-05-14,3942
2020-05-15,3787
2020-05-16,4864
2020-05-17,5050
2020-05-18,4630
2020-05-19,6147
2020-05-20,5553
2020-05-21,6198
2020-05-22,6568
2020-05-23,6629
2020-05-24,7113
2020-05-25,6414
2020-05-26,5843
2020-05-27,7293
2020-05-28,7300
2020-05-29,8105
2020-05-30,8336
2020-05-31,8782
2020-06-01,7761
2020-06-02,8821
2020-06-03,9633
2020-06-04,9889
2020-06-05,9471
2020-06-06,10438
2020-06-07,10864
2020-06-08,8442
2020-06-09,10218
2020-06-10,10459
2020-06-11,10930
2020-06-12,11458
2020-06-13,11929
2020-06-14,11502
2020-06-15,10667
2020-06-16,10974
2020-06-17,12881
2020-06-18,13586
2020-06-19,14516
2020-06-20,15403
2020-06-21,14831
2020-06-22,14933
2020-06-23,15968
2020-06-24,16922
2020-06-25,17296
2020-06-26,18552
2020-06-27,19906
2020-06-28,19459
2020-06-29,18522
2020-06-30,18641
2020-07-01,19160
2020-07-02,20903
2020-07-03,22771
2020-07-04,24850
2020-07-05,24248
2020-07-06,22251
2020-07-07,22753
2020-07-08,24879
2020-07-09,26506
2020-07-10,27114
2020-07-11,28606
2020-07-12,28732
2020-07-13,28498
2020-07-14,29429
2020-07-15,32676
2020-07-16,34975
2020-07-17,35252
2020-07-18,38697
2020-07-19,40425
2020-07-20,37132
2020-07-21,37740
2020-07-22,45720
2020-07-23,49310
2020-07-24,48916
2020-07-25,48611
2020-07-26,49981
2020-07-27,44457
2020-07-28,51596
2020-07-29,50294
2020-07-30,52783
2020-07-31,61242
2020-08-01,54735
2020-08-02,52972
2020-08-03,52050
2020-08-04,52509
2020-08-05,56282
2020-08-06,62538
2020-08-07,61537
2020-08-08,64399
2020-08-09,62064
2020-08-10,53601
2020-08-11,60963
2020-08-12,66999
2020-08-13,64553
2020-08-14,64732
2020-08-15,64030
2020-08-16,57711
2020-08-17,55018
2020-08-18,64572
2020-08-19,69672
2020-08-20,68900
2020-08-21,69876
2020-08-22,69239
2020-08-23,61408
2020-08-24,60975
2020-08-25,57224
2020-08-26,85687
2020-08-27,77266
2020-08-28,76472
2020-08-29,78761
2020-08-30,78512
2020-08-31,69921
2020-09-01,78357
2020-09-02,83883
2020-09-03,83341
2020-09-04,86432
2020-09-05,90632
2020-09-06,90802
2020-09-07,75809
2020-09-08,89706
2020-09-09,95735
2020-09-10,96551
2020-09-11,97570
2020-09-12,94372
2020-09-13,92071
2020-09-14,83809
2020-09-15,90123
2020-09-16,97894
2020-09-17,96424
2020-09-18,93337
2020-09-19,92605
2020-09-20,86961
2020-09-21,75083
2020-09-22,83347
2020-09-23,86508
2020-09-24,86052
2020-09-25,85362
2020-09-26,88600
2020-09-27,82170
2020-09-28,70589
2020-09-29,80472
2020-09-30,86821
2020-10-01,81484
2020-10-02,79476
2020-10-03,75829
2020-10-04,74442
2020-10-05,61267
2020-10-06,72049
2020-10-07,78524
2020-10-08,70496
2020-10-09,73272
2020-10-10,74383
2020-10-11,66732
2020-10-12,55342
2020-10-13,63509
